Id,String
,
HELLO,Hello~
BYE,Bye~
YOU DIE,You Die...
Item1Name,Sword
Item2Name,Shield
Item3Name,Bow
Item4Name,Potion
Item1Desc,This is a sword.
Item2Desc,This is a shield.
Item3Desc,This is a bow.
Item4Desc,This is a potion.
Character1Name,이하늘
Character2Name,김경일
Character3Name,김유찬
Character4Name,유민준
Char1Desc,This is the best Warrior.
Char2Desc,This is a just Magician.
Char3Desc,This is a just Elf.
Char4Desc,This is a just Healer.
Char1Attack,Attack: 1000
Char2Attack,Attack: 0
Char3Attack,Attack:-1
Char4Attack,Attack: 50
Char1IQ,IQ: 150
Char2IQ,IQ: 90
Char3IQ,IQ: 99
Char4IQ,IQ: 80 
