Id,String
,
HELLO,안녕
BYE,잘가
YOU DIE,너 죽음
Item1Name,검
Item2Name,방패
Item3Name,활 
Item4Name,물약 
Item1Desc,이것은 검이다.
Item2Desc,이것은 방패다.
Item3Desc,이것은 활이다.
Item4Desc,이것은 물약이다.
Character1Name,전사
Character2Name,마법사
Character3Name,엘프
Character4Name,힐러
Char1Desc,세상에서 제일 쎈 전사.
Char2Desc,쪼랩 마법사.
Char3Desc,왕쪼랩 엘프.
Char4Desc,그냥 힐러.
AttackFormat,공격력: {0}
IqFormat,지능(IQ): {0}
NAME,이름
DESC,설명
TYPE,타입
VALUE,밸류
COST,비용
WEAPON,무기
EQUIP,장비
CONSUMABLE,소모품
FILTER_NONE,없음
SORT_TIME_ASC,날짜 (오름차순)
SORT_TIME_DESC,날짜 (내림차순)
SORT_NAME_ASC,이름 (오름차순)
SORT_NAME_DESC,이름 (내림차순)
SORT_COST_ASC,가격 (오름차순)
SORT_COST_DESC,가격 (내림차순)
SORT_ATTACK_ASC,공격력 (오름차순)
SORT_ATTAC_DESC,공격력 (내림차순)
SORT_IQ_ASC,지능 (오름차순)
SORT_IQ_DESC,지능 (내림차순)
FILTER_NOT_CONSUMABLE,소모품 아님
LOAD,불러오기
SAVE,저장하기
CREATE,생성하기
DELETE,삭제하기
WARRIOR,전사
MAGICIAN,마법사
HEALER,힐러
ELF,엘프
